input,output
weight < 685461,ColumnValue `weight` < 685461
holdings < 997479,ColumnValue `holdings` < 997479
length of holdings >= 5110,ColumnLength `holdings` >= 5110
type of salary is float,ColumnDataType `salary` = 5110
weight > 237545,ColumnValue `weight` > 237545
length of weight > 7651,ColumnLength `weight` > 7651
length of salary < 1746,ColumnLength `salary` < 1746
type of holdings is string,ColumnDataType `holdings` = 1746
holdings > 944003,ColumnValue `holdings` > 944003
height < 450712,ColumnValue `height` < 450712
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 450712
height = 980086,ColumnValue `height` = 980086
weight >= 567834,ColumnValue `weight` >= 567834
length of age <= 5216,ColumnLength `age` <= 5216
age < 598452,ColumnValue `age` < 598452
type of weight is string,ColumnDataType `weight` = 598452
type of cusip is int,ColumnDataType `cusip` = 598452
height < 216297,ColumnValue `height` < 216297
salary < 565026,ColumnValue `salary` < 565026
length of ticker_symbol >= 3612,ColumnLength `ticker_symbol` >= 3612
ticker_symbol < 937433,ColumnValue `ticker_symbol` < 937433
type of salary is int,ColumnDataType `salary` = 937433
type of weight is string,ColumnDataType `weight` = 937433
age = 582341,ColumnValue `age` = 582341
type of holdings is int,ColumnDataType `holdings` = 582341
ticker_symbol > 174814,ColumnValue `ticker_symbol` > 174814
holdings = 679135,ColumnValue `holdings` = 679135
salary < 83398,ColumnValue `salary` < 83398
salary < 129370,ColumnValue `salary` < 129370
length of weight < 207,ColumnLength `weight` < 207
type of salary is float,ColumnDataType `salary` = 207
type of age is boolean,ColumnDataType `age` = 207
age > 919685,ColumnValue `age` > 919685
cusip >= 571959,ColumnValue `cusip` >= 571959
cusip <= 311787,ColumnValue `cusip` <= 311787
type of cusip is boolean,ColumnDataType `cusip` = 311787
length of height > 7456,ColumnLength `height` > 7456
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 7456
ticker_symbol >= 832958,ColumnValue `ticker_symbol` >= 832958
type of weight is int,ColumnDataType `weight` = 832958
type of cusip is int,ColumnDataType `cusip` = 832958
length of age < 8385,ColumnLength `age` < 8385
weight = 671342,ColumnValue `weight` = 671342
length of age <= 6236,ColumnLength `age` <= 6236
type of height is string,ColumnDataType `height` = 6236
length of salary = 634,ColumnLength `salary` = 634
length of salary = 2499,ColumnLength `salary` = 2499
salary = 503570,ColumnValue `salary` = 503570
type of height is boolean,ColumnDataType `height` = 503570
height > 894058,ColumnValue `height` > 894058
salary >= 865475,ColumnValue `salary` >= 865475
weight = 70052,ColumnValue `weight` = 70052
ticker_symbol = 356378,ColumnValue `ticker_symbol` = 356378
type of age is boolean,ColumnDataType `age` = 356378
length of weight < 4055,ColumnLength `weight` < 4055
type of height is float,ColumnDataType `height` = 4055
cusip = 584831,ColumnValue `cusip` = 584831
cusip <= 402172,ColumnValue `cusip` <= 402172
length of cusip = 930,ColumnLength `cusip` = 930
type of holdings is string,ColumnDataType `holdings` = 930
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 930
length of cusip > 3751,ColumnLength `cusip` > 3751
length of salary <= 7407,ColumnLength `salary` <= 7407
type of cusip is boolean,ColumnDataType `cusip` = 7407
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 7407
length of holdings >= 5824,ColumnLength `holdings` >= 5824
type of weight is string,ColumnDataType `weight` = 5824
cusip < 217222,ColumnValue `cusip` < 217222
age <= 809708,ColumnValue `age` <= 809708
type of weight is int,ColumnDataType `weight` = 809708
length of holdings = 1849,ColumnLength `holdings` = 1849
length of weight > 4824,ColumnLength `weight` > 4824
length of height > 1316,ColumnLength `height` > 1316
type of cusip is float,ColumnDataType `cusip` = 1316
type of salary is string,ColumnDataType `salary` = 1316
type of salary is boolean,ColumnDataType `salary` = 1316
length of salary = 9970,ColumnLength `salary` = 9970
length of cusip < 3326,ColumnLength `cusip` < 3326
type of salary is int,ColumnDataType `salary` = 3326
type of salary is string,ColumnDataType `salary` = 3326
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 3326
length of holdings >= 7303,ColumnLength `holdings` >= 7303
length of age <= 6389,ColumnLength `age` <= 6389
height >= 820479,ColumnValue `height` >= 820479
type of cusip is float,ColumnDataType `cusip` = 820479
type of salary is string,ColumnDataType `salary` = 820479
length of holdings > 4061,ColumnLength `holdings` > 4061
holdings >= 819228,ColumnValue `holdings` >= 819228
cusip >= 299900,ColumnValue `cusip` >= 299900
length of salary > 1472,ColumnLength `salary` > 1472
length of age >= 5524,ColumnLength `age` >= 5524
length of age < 7132,ColumnLength `age` < 7132
type of holdings is string,ColumnDataType `holdings` = 7132
cusip <= 893174,ColumnValue `cusip` <= 893174
holdings >= 394650,ColumnValue `holdings` >= 394650
type of height is float,ColumnDataType `height` = 394650
type of age is float,ColumnDataType `age` = 394650
length of height = 1581,ColumnLength `height` = 1581
cusip = 618621,ColumnValue `cusip` = 618621
height >= 284031,ColumnValue `height` >= 284031
height = 329294,ColumnValue `height` = 329294
height >= 475393,ColumnValue `height` >= 475393
length of weight > 5839,ColumnLength `weight` > 5839
type of salary is boolean,ColumnDataType `salary` = 5839
type of salary is string,ColumnDataType `salary` = 5839
type of salary is boolean,ColumnDataType `salary` = 5839
height < 421026,ColumnValue `height` < 421026
ticker_symbol >= 374042,ColumnValue `ticker_symbol` >= 374042
type of height is string,ColumnDataType `height` = 374042
age <= 403314,ColumnValue `age` <= 403314
cusip = 403389,ColumnValue `cusip` = 403389
length of holdings >= 412,ColumnLength `holdings` >= 412
type of weight is int,ColumnDataType `weight` = 412
length of salary > 8409,ColumnLength `salary` > 8409
type of holdings is boolean,ColumnDataType `holdings` = 8409
length of ticker_symbol < 1364,ColumnLength `ticker_symbol` < 1364
length of cusip = 2126,ColumnLength `cusip` = 2126
type of weight is boolean,ColumnDataType `weight` = 2126
cusip <= 208058,ColumnValue `cusip` <= 208058
ticker_symbol < 823444,ColumnValue `ticker_symbol` < 823444
length of holdings < 2349,ColumnLength `holdings` < 2349
length of weight <= 586,ColumnLength `weight` <= 586
type of height is int,ColumnDataType `height` = 586
length of cusip <= 3490,ColumnLength `cusip` <= 3490
holdings < 302422,ColumnValue `holdings` < 302422
length of salary < 9788,ColumnLength `salary` < 9788
type of cusip is int,ColumnDataType `cusip` = 9788
type of holdings is string,ColumnDataType `holdings` = 9788
length of ticker_symbol < 3002,ColumnLength `ticker_symbol` < 3002
holdings < 34331,ColumnValue `holdings` < 34331
length of age = 9505,ColumnLength `age` = 9505
weight > 390129,ColumnValue `weight` > 390129
height > 242499,ColumnValue `height` > 242499
weight >= 351019,ColumnValue `weight` >= 351019
length of salary >= 3969,ColumnLength `salary` >= 3969
length of salary = 4253,ColumnLength `salary` = 4253
type of weight is int,ColumnDataType `weight` = 4253
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 4253
type of holdings is int,ColumnDataType `holdings` = 4253
type of weight is string,ColumnDataType `weight` = 4253
length of holdings > 637,ColumnLength `holdings` > 637
ticker_symbol < 733926,ColumnValue `ticker_symbol` < 733926
type of salary is boolean,ColumnDataType `salary` = 733926
length of weight <= 5251,ColumnLength `weight` <= 5251
type of holdings is int,ColumnDataType `holdings` = 5251
weight >= 580420,ColumnValue `weight` >= 580420
holdings < 775315,ColumnValue `holdings` < 775315
age >= 823095,ColumnValue `age` >= 823095
salary > 200428,ColumnValue `salary` > 200428
length of salary >= 4605,ColumnLength `salary` >= 4605
type of holdings is int,ColumnDataType `holdings` = 4605
length of height = 703,ColumnLength `height` = 703
length of weight > 3374,ColumnLength `weight` > 3374
type of height is string,ColumnDataType `height` = 3374
type of height is float,ColumnDataType `height` = 3374
height < 137150,ColumnValue `height` < 137150
type of cusip is string,ColumnDataType `cusip` = 137150
length of age = 6442,ColumnLength `age` = 6442
cusip < 41000,ColumnValue `cusip` < 41000
type of holdings is int,ColumnDataType `holdings` = 41000
ticker_symbol = 265050,ColumnValue `ticker_symbol` = 265050
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 265050
type of height is float,ColumnDataType `height` = 265050
length of holdings <= 7270,ColumnLength `holdings` <= 7270
type of cusip is int,ColumnDataType `cusip` = 7270
age < 939483,ColumnValue `age` < 939483
length of age > 8169,ColumnLength `age` > 8169
length of ticker_symbol <= 4065,ColumnLength `ticker_symbol` <= 4065
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 4065
length of age >= 3194,ColumnLength `age` >= 3194
type of salary is int,ColumnDataType `salary` = 3194
type of age is boolean,ColumnDataType `age` = 3194
type of cusip is boolean,ColumnDataType `cusip` = 3194
salary <= 751091,ColumnValue `salary` <= 751091
length of weight = 5276,ColumnLength `weight` = 5276
age = 332111,ColumnValue `age` = 332111
type of cusip is string,ColumnDataType `cusip` = 332111
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 332111
length of height < 631,ColumnLength `height` < 631
length of age >= 4927,ColumnLength `age` >= 4927
type of age is string,ColumnDataType `age` = 4927
holdings > 240556,ColumnValue `holdings` > 240556
age <= 388268,ColumnValue `age` <= 388268
type of cusip is string,ColumnDataType `cusip` = 388268
salary < 881793,ColumnValue `salary` < 881793
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 881793
type of holdings is string,ColumnDataType `holdings` = 881793
length of salary <= 5277,ColumnLength `salary` <= 5277
ticker_symbol <= 180551,ColumnValue `ticker_symbol` <= 180551
cusip = 235144,ColumnValue `cusip` = 235144
type of holdings is string,ColumnDataType `holdings` = 235144
length of cusip < 1084,ColumnLength `cusip` < 1084
length of holdings < 3498,ColumnLength `holdings` < 3498
type of cusip is float,ColumnDataType `cusip` = 3498
salary = 135077,ColumnValue `salary` = 135077
type of height is int,ColumnDataType `height` = 135077
length of holdings = 7305,ColumnLength `holdings` = 7305
length of weight >= 104,ColumnLength `weight` >= 104
ticker_symbol > 43397,ColumnValue `ticker_symbol` > 43397
type of weight is boolean,ColumnDataType `weight` = 43397
length of cusip <= 622,ColumnLength `cusip` <= 622
height <= 957797,ColumnValue `height` <= 957797
age < 690893,ColumnValue `age` < 690893
type of height is int,ColumnDataType `height` = 690893
weight < 808275,ColumnValue `weight` < 808275
length of height >= 80,ColumnLength `height` >= 80
length of weight < 6766,ColumnLength `weight` < 6766
length of height < 9142,ColumnLength `height` < 9142
holdings = 737223,ColumnValue `holdings` = 737223
holdings > 423591,ColumnValue `holdings` > 423591
length of holdings > 9713,ColumnLength `holdings` > 9713
age < 463206,ColumnValue `age` < 463206
age = 255006,ColumnValue `age` = 255006
length of ticker_symbol >= 9044,ColumnLength `ticker_symbol` >= 9044
cusip <= 158511,ColumnValue `cusip` <= 158511
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 158511
length of salary >= 8530,ColumnLength `salary` >= 8530
weight > 782125,ColumnValue `weight` > 782125
length of cusip <= 417,ColumnLength `cusip` <= 417
type of holdings is int,ColumnDataType `holdings` = 417
length of salary <= 7376,ColumnLength `salary` <= 7376
type of age is string,ColumnDataType `age` = 7376
length of age <= 2483,ColumnLength `age` <= 2483
length of age <= 7908,ColumnLength `age` <= 7908
salary <= 174512,ColumnValue `salary` <= 174512
type of holdings is boolean,ColumnDataType `holdings` = 174512
holdings < 999190,ColumnValue `holdings` < 999190
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 999190
type of holdings is float,ColumnDataType `holdings` = 999190
length of salary > 7692,ColumnLength `salary` > 7692
salary > 800195,ColumnValue `salary` > 800195
height <= 850402,ColumnValue `height` <= 850402
type of holdings is float,ColumnDataType `holdings` = 850402
type of age is string,ColumnDataType `age` = 850402
type of height is float,ColumnDataType `height` = 850402
length of age <= 2877,ColumnLength `age` <= 2877
ticker_symbol < 762730,ColumnValue `ticker_symbol` < 762730
weight = 341461,ColumnValue `weight` = 341461
type of weight is string,ColumnDataType `weight` = 341461
type of weight is boolean,ColumnDataType `weight` = 341461
height < 625237,ColumnValue `height` < 625237
type of age is boolean,ColumnDataType `age` = 625237
holdings <= 373141,ColumnValue `holdings` <= 373141
length of height >= 5264,ColumnLength `height` >= 5264
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 5264
length of age < 7638,ColumnLength `age` < 7638
salary <= 794537,ColumnValue `salary` <= 794537
type of age is int,ColumnDataType `age` = 794537
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 794537
type of weight is int,ColumnDataType `weight` = 794537
holdings >= 905732,ColumnValue `holdings` >= 905732
length of age <= 7354,ColumnLength `age` <= 7354
length of holdings < 9620,ColumnLength `holdings` < 9620
type of cusip is float,ColumnDataType `cusip` = 9620
type of cusip is float,ColumnDataType `cusip` = 9620
length of holdings < 6358,ColumnLength `holdings` < 6358
ticker_symbol > 722123,ColumnValue `ticker_symbol` > 722123
length of weight <= 1200,ColumnLength `weight` <= 1200
holdings >= 340618,ColumnValue `holdings` >= 340618
type of holdings is boolean,ColumnDataType `holdings` = 340618
holdings = 950885,ColumnValue `holdings` = 950885
ticker_symbol = 164059,ColumnValue `ticker_symbol` = 164059
length of holdings < 6491,ColumnLength `holdings` < 6491
ticker_symbol >= 811430,ColumnValue `ticker_symbol` >= 811430
cusip > 72,ColumnValue `cusip` > 72
height = 586804,ColumnValue `height` = 586804
cusip <= 810857,ColumnValue `cusip` <= 810857
weight > 5284,ColumnValue `weight` > 5284
height >= 485155,ColumnValue `height` >= 485155
type of cusip is string,ColumnDataType `cusip` = 485155
length of salary >= 4274,ColumnLength `salary` >= 4274
type of height is float,ColumnDataType `height` = 4274
length of height <= 5669,ColumnLength `height` <= 5669
length of salary > 3860,ColumnLength `salary` > 3860
length of holdings = 8747,ColumnLength `holdings` = 8747
age < 653151,ColumnValue `age` < 653151
length of age <= 7799,ColumnLength `age` <= 7799
ticker_symbol = 50716,ColumnValue `ticker_symbol` = 50716
type of age is int,ColumnDataType `age` = 50716
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 50716
salary < 178607,ColumnValue `salary` < 178607
length of cusip < 646,ColumnLength `cusip` < 646
cusip < 547243,ColumnValue `cusip` < 547243
holdings = 185491,ColumnValue `holdings` = 185491
type of holdings is float,ColumnDataType `holdings` = 185491
salary >= 197010,ColumnValue `salary` >= 197010
type of height is string,ColumnDataType `height` = 197010
